Gmt time,Open,High,Low,Close,Volume
02.09.2019 00:00:00.000,1529.405,1529.505,1528.895,1529.005,71499.9997
02.09.2019 00:03:00.000,1528.932,1529.262,1528.905,1529.185,72030.0004
02.09.2019 00:06:00.000,1529.125,1529.405,1529.015,1529.332,33129.9989
02.09.2019 00:09:00.000,1529.315,1529.502,1529.245,1529.355,31499.999600000003
02.09.2019 00:12:00.000,1529.345,1529.395,1528.915,1529.015,33720.0002
02.09.2019 00:15:00.000,1529.005,1529.152,1528.625,1528.795,68310.0019
02.09.2019 00:18:00.000,1528.795,1528.795,1527.955,1528.132,66609.9991
02.09.2019 00:21:00.000,1528.132,1528.372,1528.075,1528.255,37260.0006
02.09.2019 00:24:00.000,1528.265,1528.275,1528.075,1528.232,29989.999799999998
02.09.2019 00:27:00.000,1528.265,1528.445,1527.935,1528.155,73620.0027
02.09.2019 00:30:00.000,1528.155,1528.385,1527.975,1528.345,60240.000499999995
02.09.2019 00:33:00.000,1528.345,1528.345,1528.125,1528.285,48499.999599999996
02.09.2019 00:36:00.000,1528.285,1528.875,1528.285,1528.755,63160.00039999999
02.09.2019 00:39:00.000,1528.785,1529.115,1528.405,1528.405,48589.999299999996
02.09.2019 00:42:00.000,1528.405,1528.645,1528.365,1528.625,43910.0014
02.09.2019 00:45:00.000,1528.625,1528.785,1528.465,1528.735,31849.9999
02.09.2019 00:48:00.000,1528.735,1529.585,1528.515,1529.565,35089.9995
02.09.2019 00:51:00.000,1529.565,1530.115,1529.565,1529.882,75880.0003
02.09.2019 00:54:00.000,1529.862,1529.872,1529.265,1529.275,58870.000799999994
02.09.2019 00:57:00.000,1529.255,1529.782,1529.255,1529.355,56849.9993
02.09.2019 01:00:00.000,1529.355,1529.602,1527.645,1527.785,164769.99970000001
02.09.2019 01:03:00.000,1527.765,1528.142,1526.932,1527.605,190170.0013
02.09.2019 01:06:00.000,1527.525,1527.605,1524.825,1525.015,212009.9999
02.09.2019 01:09:00.000,1525.015,1525.195,1522.975,1524.325,138690.00040000002
02.09.2019 01:12:00.000,1524.252,1524.952,1523.852,1524.465,100200.003
02.09.2019 01:15:00.000,1524.515,1524.825,1523.765,1524.195,140340.00040000002
02.09.2019 01:18:00.000,1524.185,1526.515,1523.552,1526.202,198720.0007
