time,Open,High,Low,Close,Volume
18.10.2019 00:00:00.593,53.941,53.941,53.941,53.941,0
18.10.2019 00:00:00.771,53.925,53.925,53.925,53.925,0.0003
18.10.2019 00:00:01.038,53.931,53.931,53.931,53.931,0
18.10.2019 00:00:01.216,53.946,53.946,53.946,53.946,0
18.10.2019 00:00:01.394,53.936,53.936,53.936,53.936,0
18.10.2019 00:00:04.331,53.926,53.926,53.926,53.926,0
18.10.2019 00:00:05.310,53.936,53.936,53.936,53.936,0
18.10.2019 00:00:05.755,53.915,53.915,53.915,53.915,0.0003
18.10.2019 00:00:07.624,53.925,53.925,53.925,53.925,0.0003
18.10.2019 00:00:10.472,53.931,53.931,53.931,53.931,0
18.10.2019 00:00:12.074,53.925,53.925,53.925,53.925,0.0003
18.10.2019 00:00:15.189,53.946,53.946,53.946,53.946,0
18.10.2019 00:00:15.456,53.940,53.940,53.940,53.940,0
18.10.2019 00:00:17.503,53.935,53.935,53.935,53.935,0.0004
18.10.2019 00:00:18.838,53.940,53.940,53.940,53.940,0
18.10.2019 00:00:21.063,53.946,53.946,53.946,53.946,0
18.10.2019 00:00:21.953,53.940,53.940,53.940,53.940,0
18.10.2019 00:00:22.220,53.946,53.946,53.946,53.946,0
18.10.2019 00:00:23.288,53.955,53.955,53.955,53.955,0
18.10.2019 00:00:23.466,53.951,53.951,53.951,53.951,0
18.10.2019 00:00:23.644,53.955,53.955,53.955,53.955,0
18.10.2019 00:00:23.822,53.951,53.951,53.951,53.951,0
18.10.2019 00:00:24.712,53.935,53.935,53.935,53.935,0.0003
18.10.2019 00:00:32.366,53.941,53.941,53.941,53.941,0
18.10.2019 00:00:34.235,53.931,53.931,53.931,53.931,0
18.10.2019 00:00:34.413,53.915,53.915,53.915,53.915,0.0003
18.10.2019 00:00:35.036,53.920,53.920,53.920,53.920,0
18.10.2019 00:00:35.481,53.925,53.925,53.925,53.925,0.0003
18.10.2019 00:00:38.151,53.941,53.941,53.941,53.941,0
18.10.2019 00:00:40.376,53.936,53.936,53.936,53.936,0
18.10.2019 00:00:41.355,53.930,53.930,53.930,53.930,0
18.10.2019 00:00:41.622,53.936,53.936,53.936,53.936,0
18.10.2019 00:00:41.800,53.930,53.930,53.930,53.930,0
18.10.2019 00:00:42.601,53.936,53.936,53.936,53.936,0
18.10.2019 00:00:42.690,53.941,53.941,53.941,53.941,0
18.10.2019 00:00:43.313,53.925,53.925,53.925,53.925,0.0004
18.10.2019 00:00:43.491,53.930,53.930,53.930,53.930,0
18.10.2019 00:00:46.517,53.935,53.935,53.935,53.935,0
18.10.2019 00:00:48.564,53.941,53.941,53.941,53.941,0
18.10.2019 00:00:48.742,53.936,53.936,53.936,53.936,0
18.10.2019 00:00:55.951,53.926,53.926,53.926,53.926,0
18.10.2019 00:01:00.401,53.936,53.936,53.936,53.936,0
18.10.2019 00:01:00.757,53.930,53.930,53.930,53.930,0
18.10.2019 00:01:01.024,53.935,53.935,53.935,53.935,0
18.10.2019 00:01:01.469,53.940,53.940,53.940,53.940,0
18.10.2019 00:01:03.427,53.955,53.955,53.955,53.955,0
18.10.2019 00:01:03.605,53.946,53.946,53.946,53.946,0
18.10.2019 00:01:03.783,53.955,53.955,53.955,53.955,0
18.10.2019 00:01:04.317,53.951,53.951,53.951,53.951,0
18.10.2019 00:01:04.406,53.935,53.935,53.935,53.935,0.0003
18.10.2019 00:01:08.411,53.936,53.936,53.936,53.936,0
18.10.2019 00:01:09.746,53.930,53.930,53.930,53.930,0
18.10.2019 00:01:10.547,53.935,53.935,53.935,53.935,0
18.10.2019 00:01:10.636,53.941,53.941,53.941,53.941,0
18.10.2019 00:01:14.552,53.925,53.925,53.925,53.925,0.0003
18.10.2019 00:01:14.819,53.946,53.946,53.946,53.946,0
18.10.2019 00:01:15.353,53.941,53.941,53.941,53.941,0
18.10.2019 00:01:17.845,53.936,53.936,53.936,53.936,0
18.10.2019 00:01:19.447,53.941,53.941,53.941,53.941,0
18.10.2019 00:01:21.316,53.925,53.925,53.925,53.925,0.0003
18.10.2019 00:01:21.672,53.941,53.941,53.941,53.941,0
18.10.2019 00:01:27.813,53.925,53.925,53.925,53.925,0.0004
18.10.2019 00:01:28.258,53.930,53.930,53.930,53.930,0
18.10.2019 00:01:28.881,53.935,53.935,53.935,53.935,0
18.10.2019 00:01:33.865,53.941,53.941,53.941,53.941,0
18.10.2019 00:01:38.048,53.925,53.925,53.925,53.925,0.0004
18.10.2019 00:01:41.875,53.946,53.946,53.946,53.946,0
18.10.2019 00:01:42.854,53.944,53.944,53.944,53.944,0
18.10.2019 00:01:49.974,53.946,53.946,53.946,53.946,0
18.10.2019 00:01:57.361,53.951,53.951,53.951,53.951,0
18.10.2019 00:01:58.162,53.935,53.935,53.935,53.935,0.0003
18.10.2019 00:01:59.942,53.940,53.940,53.940,53.940,0
18.10.2019 00:02:00.476,53.946,53.946,53.946,53.946,0
18.10.2019 00:02:10.177,53.940,53.940,53.940,53.940,0
18.10.2019 00:02:12.313,53.935,53.935,53.935,53.935,0.0003
18.10.2019 00:02:12.580,53.944,53.944,53.944,53.944,0
18.10.2019 00:02:12.936,53.951,53.951,53.951,53.951,0
18.10.2019 00:02:21.569,53.955,53.955,53.955,53.955,0
18.10.2019 00:02:25.574,53.935,53.935,53.935,53.935,0.0003
18.10.2019 00:03:13.990,53.944,53.944,53.944,53.944,0
18.10.2019 00:03:14.257,53.951,53.951,53.951,53.951,0
18.10.2019 00:03:15.859,53.955,53.955,53.955,53.955,0
18.10.2019 00:03:37.130,53.950,53.950,53.950,53.950,0
18.10.2019 00:03:40.067,53.955,53.955,53.955,53.955,0
18.10.2019 00:03:41.135,53.960,53.960,53.960,53.960,0
18.10.2019 00:03:41.402,53.966,53.966,53.966,53.966,0
18.10.2019 00:03:43.093,53.960,53.960,53.960,53.960,0
18.10.2019 00:03:50.213,53.955,53.955,53.955,53.955,0.0003
18.10.2019 00:04:02.495,53.961,53.961,53.961,53.961,0
18.10.2019 00:04:03.385,53.955,53.955,53.955,53.955,0
18.10.2019 00:04:06.144,53.966,53.966,53.966,53.966,0
18.10.2019 00:04:09.081,53.960,53.960,53.960,53.960,0
18.10.2019 00:04:09.793,53.955,53.955,53.955,53.955,0.0003
18.10.2019 00:04:38.540,53.961,53.961,53.961,53.961,0
18.10.2019 00:04:38.718,53.955,53.955,53.955,53.955,0.0003
18.10.2019 00:05:05.240,53.944,53.944,53.944,53.944,0.0004
18.10.2019 00:05:05.329,53.946,53.946,53.946,53.946,0.0003
18.10.2019 00:05:05.418,53.935,53.935,53.935,53.935,0.0003
18.10.2019 00:06:08.697,53.951,53.951,53.951,53.951,0
18.10.2019 00:06:09.854,53.935,53.935,53.935,53.935,0.0004
18.10.2019 00:06:38.601,53.940,53.940,53.940,53.940,0
18.10.2019 00:06:42.695,53.955,53.955,53.955,53.955,0
18.10.2019 00:06:56.490,53.961,53.961,53.961,53.961,0
18.10.2019 00:07:05.479,53.955,53.955,53.955,53.955,0.0003
18.10.2019 00:07:07.437,53.961,53.961,53.961,53.961,0
18.10.2019 00:07:07.704,53.955,53.955,53.955,53.955,0
18.10.2019 00:07:08.772,53.961,53.961,53.961,53.961,0
18.10.2019 00:07:47.843,53.955,53.955,53.955,53.955,0
18.10.2019 00:08:58.153,53.966,53.966,53.966,53.966,0
18.10.2019 00:09:10.257,53.961,53.961,53.961,53.961,0
18.10.2019 00:09:10.613,53.955,53.955,53.955,53.955,0
18.10.2019 00:09:10.880,53.961,53.961,53.961,53.961,0
18.10.2019 00:09:15.152,53.955,53.955,53.955,53.955,0
18.10.2019 00:09:32.596,53.951,53.951,53.951,53.951,0
18.10.2019 00:09:44.700,53.955,53.955,53.955,53.955,0
18.10.2019 00:09:45.946,53.951,53.951,53.951,53.951,0
18.10.2019 00:09:51.108,53.955,53.955,53.955,53.955,0
18.10.2019 00:09:56.626,53.951,53.951,53.951,53.951,0
18.10.2019 00:09:58.940,53.955,53.955,53.955,53.955,0
18.10.2019 00:10:00.008,53.951,53.951,53.951,53.951,0
18.10.2019 00:10:04.636,53.955,53.955,53.955,53.955,0
18.10.2019 00:10:08.285,53.950,53.950,53.950,53.950,0
18.10.2019 00:10:10.510,53.955,53.955,53.955,53.955,0
18.10.2019 00:10:17.096,53.950,53.950,53.950,53.950,0
18.10.2019 00:10:17.274,53.955,53.955,53.955,53.955,0
18.10.2019 00:10:22.614,53.961,53.961,53.961,53.961,0
18.10.2019 00:10:23.326,53.955,53.955,53.955,53.955,0
18.10.2019 00:10:32.048,53.955,53.955,53.955,53.955,0
18.10.2019 00:10:36.587,53.950,53.950,53.950,53.950,0
18.10.2019 00:10:49.492,53.955,53.955,53.955,53.955,0.0003
18.10.2019 00:10:49.937,53.961,53.961,53.961,53.961,0
18.10.2019 00:10:50.115,53.955,53.955,53.955,53.955,0
18.10.2019 00:11:23.223,53.976,53.976,53.976,53.976,0
18.10.2019 00:11:23.401,53.955,53.955,53.955,53.955,0.0004
18.10.2019 00:11:37.819,53.960,53.960,53.960,53.960,0
18.10.2019 00:11:41.557,53.955,53.955,53.955,53.955,0.0004
18.10.2019 00:11:48.766,53.976,53.976,53.976,53.976,0
